"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
949;"DAF533";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-069A";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"0,5";;;;;;;;;"20";;;;;;;;"15";;;;;;;
950;"DAF533";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-069A";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
951;"DAF533";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-069A";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;
952;"DAF533";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-069A";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"70";"1500";"< 1";"ND";"ND";"< 5";"30";"< 5";"100";"1000";"ND";"50";"5";"30";"ND";"10";"ND";"100";"30";"ND";"70";"ND";"> 1000";;;"7,0000000000000007E-2";"1,5";"0,05";"> 1"
953;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
954;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;
955;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
956;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"1";;;;;;;;;"15";;;;;;;;"15";;;;;;;
957;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
958;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;
959;"DAF524";"cartas_100M";-52.443958593;-3.465560195;"1521-DM-S-070";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"1500";"< 1";"ND";"ND";"5";"15";"< 5";"30";"700";"ND";"20";"5";"30";"ND";"ND";"ND";"100";"20";"ND";"69";"ND";"> 1000";;;"7,0000000000000007E-2";"1,5";"0,05";"1"
960;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;
961;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"15";;;;;;;;;;;;;;;;;;;;;
962;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
963;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"0,5";;;;;;;"1,5";;;;;;;;;"20";;;;;;;;"100";;;;;;;
964;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
965;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
966;"DAF525";"cartas_100M";-52.053427152;-3.131164883;"1521-DM-S-071";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"300";"< 1";"ND";"ND";"30";"100";"150";"ND";"1500";"10";"30";"70";"15";"ND";"20";"ND";"ND";"500";"ND";"30";"< 200";"500";;;"0,7";"10";"0,5";"> 1"
967;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
968;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;;;
969;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
970;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"1";;;;;;;;;"10";;;;;;;;"15";;;;;;;
971;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;
972;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
973;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
974;"DAF526";"cartas_100M";-52.061837634;-3.142803569;"1521-DM-S-072";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"100";"< 1";"ND";"ND";"30";"50";"150";"ND";"2000";"5";"30";"30";"10";"ND";"20";"ND";"ND";"300";"ND";"50";"ND";"> 1000";;;"< 0,05";"7";"0,1";"> 1"
975;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
976;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"7";;;;;;;;;;;;;;;;;;;;;
977;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
978;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"20";;;;;;"25";;;;;;;;"45";;;;;;;
979;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;
980;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"90";;;;;
981;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
982;"DAG233";;-52.505685503;-3.416375758;"1521-DM-S-073";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"2000";"< 1";"ND";"ND";"10";"150";"70";"30";"700";"< 5";"15";"50";"50";"ND";"10";"ND";"ND";"100";"ND";"50";"ND";"> 1000";;;"0,5";"7";"0,7";"1"
983;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"0";;;;;;;;;;;;;;;;;;
984;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;;;;
985;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0,35";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"< 5";;;;;;"5";;;;;;;;"5";;;;;;;
987;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
988;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
989;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
990;"DAG234";;-52.534871128;-3.367645327;"1521-DM-S-074";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"70";"100";"< 1";"ND";"ND";"< 5";"15";"< 5";"50";"150";"ND";"15";"ND";"10";"ND";"ND";"ND";"ND";"30";"ND";"15";"ND";"> 1000";;;"< 0,05";"0,2";"< 0,02";"0,7"
991;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
992;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
993;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"< 0,2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
994;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"5";;;;;;"5";;;;;;;;"10";;;;;;;
995;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;
996;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
997;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
998;"DAG235";;-52.508160963;-3.37566784;"1521-DM-S-075";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"70";"< 1";"ND";"ND";"5";"10";"10";"20";"700";"ND";"20";"7";"20";"ND";"< 5";"ND";"ND";"100";"ND";"30";"ND";"> 1000";;;"< 0,05";"1,5";"0,02";"> 1"
999;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
1000;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
1001;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"5";;;;;;"5";;;;;;;;"10";;;;;;;
1003;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
1004;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
1005;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;
1006;"DAG236";;-52.504916319;-3.428870356;"1521-DM-S-076";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"15";"1000";"< 1";"ND";"ND";"7";"30";"7";"20";"1500";"ND";"15";"15";"30";"ND";"5";"ND";"ND";"30";"ND";"15";"ND";"> 1000";;;"0,5";"2";"0,2";"1"
1007;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
1008;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;
1009;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"5";;;;;;"5";;;;;;;;"5";;;;;;;
1011;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;
1012;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"60";;;;;
1013;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
1014;"DAG237";;-52.514237966;-3.326976306;"1521-DM-S-077";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"100";"300";"< 1";"ND";"ND";"5";"20";"7";"50";"200";"< 5";"15";"7";"ND";"ND";"< 5";"ND";"ND";"30";"ND";"50";"ND";"> 1000";;;"< 0,05";"1,5";"7,0000000000000007E-2";"1"
1015;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
1016;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;
1017;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1018;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"< 5";;;;;;"5";;;;;;;;"5";;;;;;;
1019;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
1020;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"< 50";;;;;
1021;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
1022;"DAG238";;-52.507025084;-3.328340101;"1521-DM-S-078";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"100";"200";"< 1";"ND";"ND";"< 5";"10";"5";"30";"100";"ND";"15";"ND";"ND";"ND";"ND";"ND";"ND";"20";"ND";"15";"ND";"> 1000";;;"< 0,05";"0,7";"0,03";"0,5"
1023;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;
1024;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"4";;;;;;;;;;;;;;;;;;;;;
1025;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1026;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"20";;;;;;"20";;;;;;;;"25";;;;;;;
1027;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;
1028;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"190";;;;;
1029;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"10";;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;
1030;"DAG239";;-52.509391407;-3.306932313;"1521-DM-S-079";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"100";"700";"1";"ND";"ND";"5";"100";"70";"20";"300";"15";"15";"30";"30";"ND";"15";"ND";"ND";"150";"ND";"30";"ND";"700";;;"0,05";"10";"0,2";"1"
1031;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
1032;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - EDTA a Frio";"SGB-CPRM - Rigeo";;;;;;;;;;;"5";;;;;;;;;;;;;;;;;;;;;
1033;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HBr, Br";"SGB-CPRM - Rigeo";;;"ND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1034;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - HNO3 a Quente";"SGB-CPRM - Rigeo";"ND";;;;;;;"ND";;;"15";;;;;;"15";;;;;;;;"25";;;;;;;
1035;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Cromatografia - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;;"< 20";;;;
1036;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Medidor de Íon Específico - Semiquantitativa";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;;;;;;;;;;;;;;"120";;;;;
1037;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Colorimetria";"SGB-CPRM - Rigeo";;"< 10";;;;;;;;;;;;;;;;"< 1";;;;;;;;;;;;;;
1038;"DAG240";;-52.564758562;-3.322069435;"1521-DM-S-080";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"100";"700";"< 1";"ND";"ND";"7";"30";"30";"30";"500";"5";"15";"20";"30";"ND";"10";"ND";"ND";"150";"ND";"45";"ND";"> 1000";;;"7,0000000000000007E-2";"3";"0,1";"1"
1039;"DAG241";;-52.564758562;-3.322069435;"1521-DM-S-081";"Sulfetos de Altamira-Itaituba";"Sedimento de Corrente";"Absorção Atômica - Água Régia Invertida";"SGB-CPRM - Rigeo";;;;;;;;;;;;;;"ND";;;;;;;;;;;;;;;;;;
